NDB_No,Nutr_No,Isfl_Val,SD,n,Min,Max,CC,DataSrc_ID
1056,710,0,,1,0,0,D,31
1056,711,0,,1,0,0,D,31
1056,713,0,,1,0,0,D,31
1077,710,0,,1,0,0,C,31
1077,711,0,0,149,0,0,B,"31,43"
1077,713,0,,1,0,0,C,31
1079,710,0,,1,0,0,C,89
1079,711,0,,1,0,0,C,89
1079,712,0,,1,0,0,C,89
1079,713,0,,1,0,0,C,89
1079,715,0,,1,0,0,,89
1079,716,0,,1,0,0,,89
1116,710,0,,1,0,0,D,31
1116,711,0,,1,0,0,D,31
1116,713,0,,1,0,0,D,31
1123,710,0.02,,2,0,0.03,C,"31, 76a"
1123,711,0.02,,1,0.01,0.02,C,"31, 76a"
1123,712,0,,1,,,C,76a
1123,713,0.05,,1,0.05,0.05,D,31
1123,714,0.05,,1,0.05,0.05,,31
1123,715,0.05,,1,0.05,0.05,,31
1123,716,0,,1,0,0,,31
1124,710,0,,1,,,C,76a
1124,711,0,,1,,,C,76a
1124,712,0,,1,,,C,76a
1125,710,0.02,,1,,,C,76a
1125,711,0.01,,1,,,C,76a
1125,712,0,,1,,,C,76a
2019,710,0.01,0,3,0.01,0.01,C,57
2019,711,0.01,0,3,0.01,0.01,C,57
2019,713,0.02,0,3,0.02,0.02,C,57
2019,714,0.01,,1,0.01,0.01,,57
2019,715,0.01,,1,0.01,0.01,,57
2019,716,0,,1,0,0,,57
2046,710,0,,1,0,0,D,31
2046,711,0,,1,0,0,D,31
2046,713,0,,1,0,0,D,31
3841,710,0.73,0.41,11,0.39,1.91,A,"37,86"
3841,711,1.37,0.37,11,0.86,2.26,A,"37,86"
3841,712,0.12,0.02,10,0.09,0.14,A,"37,"
3841,713,2.21,0.74,11,1.34,4.17,A,"37,86"
3843,710,6.03,0,6,6.03,6.03,B,"69,70"
3843,711,12.23,0.51,6,11.43,13.03,B,"69,70"
3843,712,2.73,0.02,6,2.7,2.77,B,"69,70"
3843,713,25.82,2.85,11,20.17,31.6,A,"69,70,85"
3890,710,0.75,0,4,0.75,0.75,B,69
3890,711,1.6,0,4,1.6,1.6,B,69
3890,712,0.28,0,4,0.28,0.28,B,69
3890,713,2.63,0,4,2.63,2.63,B,69
3891,710,0.98,0.16,5,0.79,1.25,B,"70,75"
3891,711,2.69,0.46,5,2.19,3.45,B,"70,75"
3891,712,0.35,0,2,0.35,0.35,B,70
3891,713,3.81,0.75,5,2.98,5.05,B,"70,75"
3893,710,5.7,0,2,5.7,5.7,B,70
3893,711,13.55,0,2,13.55,13.55,B,70
3893,712,2.05,0,2,2.05,2.05,B,70
3893,713,28.01,2.95,7,21.3,30.7,B,"70,85"
3931,710,7.23,0.06,4,7.15,7.3,B,"69,70"
3931,711,14.75,0.2,4,14.5,15,B,"69,70"
3931,712,3,0.04,4,2.95,3.05,B,"69,70"
3931,713,25,0.08,4,24.9,25.1,B,"69,70"
4044,710,0,0,3,0,0,B,66
4044,711,0,0,3,0,0,B,66
4044,712,0,0,3,0,0,B,66
4044,713,0,0,3,0,0,B,66
5323,710,0.25,0.07,2,0.2,0.3,C,91
5323,711,0.3,0,2,0.3,0.3,C,91
5323,712,0,0,2,0,0,C,91
5323,713,0.55,0.07,2,0.5,0.6,C,91
5327,710,0.2,0.14,2,0.1,0.3,C,91
5327,711,0.25,0.07,2,0.2,0.3,C,91
5327,712,0,0,2,0,0,C,91
5327,713,0.55,0.21,2,0.4,0.7,C,91
6016,710,0,,1,0,0,C,91
6016,711,0.1,,1,0.1,0.1,C,91
6016,712,0,,1,0,0,C,91
6016,713,0.1,,1,0.1,0.1,C,91
6019,710,0,,1,0,0,C,91
6019,711,0,,1,0,0,C,91
6019,712,0,,1,0,0,C,91
6019,713,0,,1,0,0,C,91
6043,710,0,,1,0,0,C,91
6043,711,0,,1,0,0,C,91
6043,712,0,,1,0,0,C,91
6043,713,0,,1,0,0,C,91
6065,710,0,,1,0,0,C,91
6065,711,0,,1,0,0,C,91
6065,712,0,,1,0,0,C,91
6065,713,0,,1,0,0,C,91
6071,710,0,0,2,0,0,C,91
6071,711,0,0,2,0,0,C,91
6071,712,0,0,2,0,0,C,91
6071,713,0,0,2,0,0,C,91
6075,710,0,0,2,0,0,C,91
6075,711,0,0,2,0,0,C,91
6075,712,0,0,2,0,0,C,91
6075,713,0.1,0,2,0.1,0.1,C,91
